CpGmarker,chr:coord_hg19,RNA_seq_ENCFF754LBN,RNA_seq_ENCFF398HDS
cg05844583,chr2:228582789,,
cg06043190,chr2:42396882,0.03715318963874745,1.5957103992935429
cg06191203,chr2:152266755,0.022635622893895965,0.6235637160905282
cg06552037,chr2:220435838,,
cg06625414,chr2:220492692,,0.008253253031387386
cg06642617,chr2:73461528,0.04242581868549667,0.35381339690206565
cg06668300,chr2:95691755,0.10894708864513662,0.0594257102979004
cg06834261,chr2:203776215,0.06028630343856515,
cg06869899,chr2:28113326,0.21881778088591045,0.01002539052933571
cg07197823,chr2:121103050,,
cg07310661,chr2:225449833,0.36195134746835117,0.007454374979715794
cg07314337,chr2:153574424,0.05268935740509552,0.016530198063516972
cg07428089,chr2:176046170,0.3076700491771483,0.00624576049199792
cg07652213,chr2:48010362,,0.7158036895239963
cg08229694,chr2:86422197,0.10109274293484162,0.05458699004471447
cg08305742,chr2:88354927,0.3592061097187889,0.01105070937794785
cg08460026,chr2:204732474,0.003860178476315923,0.2707815687183727
cg08646988,chr2:69614274,0.23380584601217777,0.0027699999045580626
cg08974656,chr2:96931567,0.5893585775210116,
cg09266433,chr2:179058698,0.014129482803802038,
cg09288658,chr2:173940639,0.0411606632405892,0.37485042569662613
cg09809242,chr2:122494874,0.0027699999045580626,0.005390491689646952
cg10140638,chr2:220174207,,
cg10660136,chr2:232379107,,0.005549999885261059
cg10762132,chr2:113403533,0.014790374853570635,0.22595050629414618
cg10773869,chr2:70057052,,0.4260526912988273
cg10775273,chr2:219857927,,
cg11620807,chr2:227664353,0.030600199039254403,0.006917392971820347
cg11692477,chr2:190445477,1.3876279987899276,0.0027699999045580626
cg12066181,chr2:25565288,0.00514662492350908,
cg12393697,chr2:187558983,,0.006466744160527159
cg12620499,chr2:216877984,0.0288801247165759,0.01384247515793189
cg12691366,chr2:64681733,0.009168749961827417,0.061926218173586026
cg12815916,chr2:131114432,,0.0087235036736016
cg12885244,chr2:88355058,0.4777814222690173,0.011060054212607242
cg12949975,chr2:20867352,,0.005549999885261059
cg13051968,chr2:7057649,0.005549999885261059,0.30951601279976104
cg13332925,chr2:178257559,0.06073941217333663,0.3845267774793657
cg13439299,chr2:27498173,,0.009248156498534886
cg13539030,chr2:235405968,0.009247777673105398,0.058730323862110974
cg14002682,chr2:25195127,0.010662737715806845,0.14029753044656387
cg14126210,chr2:47142867,0.09140690128502607,0.02541928538232155
cg14172532,chr2:242447907,0.22198693331750557,
cg14383135,chr2:101436923,,0.015034581914446071
cg14698961,chr2:48667887,0.014289504325076065,0.032580666328804235
cg14934766,chr2:27009384,,
cg15157837,chr2:97482059,0.016912450129534358,0.20383318392350264
cg15243024,chr2:27651571,0.016349701558364862,0.6011826751921543
cg15319457,chr2:239148132,0.05615871398742655,
cg16246410,chr2:157189316,0.5498011720522383,0.030684590072790435
cg16605590,chr2:122494233,0.22002795478445186,
cg17178336,chr2:219925246,0.007731102355645867,
cg17189058,chr2:70418126,0.028598959215314072,0.0027699999045580626
cg17610929,chr2:220379044,,
cg17731079,chr2:37899023,0.14024930146343986,0.026321229063890304
cg17895873,chr2:73441412,,0.08585755957663059
cg17918501,chr2:27717709,0.009308808538659277,
cg18182399,chr2:220283175,,
cg18277754,chr2:30144152,,
cg19001226,chr2:177053345,0.0027699999045580626,
cg19210770,chr2:220379091,,
cg19280014,chr2:177134307,,0.041423579743235094
cg19355685,chr2:220071637,0.00947253846635039,0.2507841616012156
cg19461344,chr2:27485922,,
cg19728485,chr2:11295717,,0.4776639170547543
cg19886179,chr2:162164993,0.023156133633990262,0.409756568230351
cg20091107,chr2:38604853,,
cg20369763,chr2:27718173,,
cg20449833,chr2:46770299,,0.21432314200926006
cg20557037,chr2:165698099,0.051534688011963765,
cg20637307,chr2:213403960,,
cg20972416,chr2:220025218,0.006238749978365377,
cg21182454,chr2:112656262,,0.047660879555393706
cg21321735,chr2:241760164,,
cg21650900,chr2:235405122,3.5566359868370685,0.014847152511780428
cg22085335,chr2:11052081,,
cg22148652,chr2:152684540,0.3261697002665658,
cg22153873,chr2:60781524,0.00461764141526249,0.008320000022649765
cg22243662,chr2:10862305,0.005549999885261059,0.0027699999045580626
cg22380033,chr2:165477918,,0.0027699999045580626
cg22544376,chr2:74154016,,0.6128931396659099
cg22580372,chr2:120436899,,0.0446383563087207
cg23248865,chr2:97535578,0.049950922544386024,0.004116367608216913
cg23631636,chr2:217363620,0.006749130461526954,1.9361989624018163
cg23905308,chr2:239196947,0.19242758140376678,0.013364540229244737
cg24053619,chr2:61293272,,0.01245944861747215
cg24076392,chr2:48667874,0.01719968443052625,0.033155604044313204
cg24127874,chr2:239149859,,
cg24767315,chr2:241525811,0.06673868706760307,
cg24890043,chr2:135476297,0.0027699999045580626,0.005549999885261059
cg25596297,chr2:223162875,,
cg25856179,chr2:191878705,0.7017102003134694,
cg25903497,chr2:219157103,0.14888580627691791,0.0027699999045580626
cg25908985,chr2:219925065,0.0076993360914506355,
cg26102760,chr2:242088848,0.11063618436827327,0.013625116285131595
cg26900034,chr2:88355166,0.42354229504144997,0.011090000160038471
cg00201234,chr3:13590968,,
cg00522034,chr3:105587721,1.169326823911871,
cg01216369,chr3:172859022,,
cg02164046,chr3:187388148,0.011035148672169388,
cg02699167,chr3:33319024,,
cg03159785,chr3:170075773,0.04932226904405471,0.47455910216097225
cg03438904,chr3:197518158,0.044480443399584325,0.11335413902301221
cg04228553,chr3:15247818,,1.3210455416887998
cg04428853,chr3:52931532,0.2794998971542391,
cg04531710,chr3:184032412,,0.4414976299053721
cg04614380,chr3:50192449,,0.008292574278715223
cg04739570,chr3:127348611,,0.005549999885261059
cg04759439,chr3:56502612,,
cg04836786,chr3:148804272,0.02873711760143656,
cg04837898,chr3:45731254,0.00906466928234592,0.16838246938816628
cg04970117,chr3:45838037,0.011063619206349054,
cg05008406,chr3:118959563,0.12058850358289079,0.01466420543117401
cg05280555,chr3:32727089,0.0027699999045580626,0.153174738987277
cg05308617,chr3:137906066,0.015703203600077403,0.2650890418011299
cg05369142,chr3:46735009,0.0454325061504832,0.005518763930421699
cg05699592,chr3:48885332,0.4391324089397446,0.015503543262245265
cg05788437,chr3:197476880,0.013097399163456888,0.6074225428674435
cg05911610,chr3:131221850,0.5870843989605024,0.011090000160038471
cg06088032,chr3:50383227,0.007959107183393956,
cg06490988,chr3:128212001,0.005750826043684197,0.0027699999045580626
cg07248043,chr3:125314337,0.051688739665674534,
cg07356753,chr3:81810745,0.2797797755796945,0.1747661093226692
cg08563994,chr3:49823664,0.3544824444816594,
cg08574156,chr3:183979091,0.022042316257169372,
cg08584430,chr3:49824184,,0.01053013517898885
cg08853659,chr3:139654245,,
cg09307279,chr3:52739927,0.02539082885969703,0.0071096295572782835
cg09615786,chr3:98620581,0.02857827978167137,
cg10553028,chr3:32280480,0.011025204835187274,0.0758366334691012
cg10920302,chr3:45430089,,0.27938285644581434
cg11021744,chr3:11034279,,
cg12062464,chr3:20081582,0.008805027299005884,0.01809616736313659
cg12149391,chr3:197025853,,
cg12185908,chr3:20227516,0.0571932076423798,0.011536666785864043
cg12291552,chr3:167813648,0.01862400009762496,0.005549999885261059
cg13517305,chr3:126423553,0.011090000160038471,0.008320000022649765
cg13562542,chr3:71803339,0.0027699999045580626,0.025604572048229454
cg13577407,chr3:57994372,,0.6826921956720495
cg13913917,chr3:182511332,0.005549999885261059,1.8344557341967147
cg14272175,chr3:58318960,,0.06656398306637581
cg14415034,chr3:45730717,0.03591748022822648,0.02798695413224485
cg14452875,chr3:23987206,0.01465409101431512,0.20583758123702092
cg14643520,chr3:141595277,0.006250459690117973,0.04762112215031263
cg14911395,chr3:50311213,0.0027699999045580626,0.007197045458650047
cg15348799,chr3:170075452,0.017641361771111794,0.24325262280079266
cg15427774,chr3:39149258,0.03395460142031488,0.010946616376365037
cg15584630,chr3:150126560,0.08509703261540863,0.9686337168377237
cg15602950,chr3:45731220,0.009008417287908441,0.16875601056359354
cg15705999,chr3:125093863,0.08931158216194444,
cg15786541,chr3:110791063,,0.0207945167271824
cg16225429,chr3:50365552,0.19121127177791628,
cg16382256,chr3:184279657,,
cg16418163,chr3:140950828,,0.036009924267613444
cg17804987,chr3:50654788,0.013561111047036119,0.33184087114290167
cg17877494,chr3:38178256,0.18389398969728454,0.023499467535517536
cg18313110,chr3:139108398,0.14928289149966406,
cg18986332,chr3:33759647,0.5544006997496447,0.013685634195568331
cg19049316,chr3:61237063,0.08504313017640795,0.005549999885261059
cg19188060,chr3:184017239,,0.49681316395557285
cg19547629,chr3:39851641,,
cg19591206,chr3:133748809,,
cg19591588,chr3:45730799,0.007101219561995893,0.1896661735396376
cg19709625,chr3:142607981,,0.0027699999045580626
cg20074371,chr3:31574495,0.015945647136472604,1.1610480823421716
cg20247102,chr3:141206102,0.011090000160038471,1.2888982227754935
cg20402382,chr3:49711530,,0.008320000022649765
cg20449692,chr3:170136920,,0.008407930033037076
cg20591405,chr3:133614578,0.0027699999045580626,
cg20852286,chr3:93781624,0.04442212056900077,0.004632170996812515
cg20856064,chr3:49027210,0.02319468804019645,0.026524897383000606
cg20916523,chr3:10184584,,0.266038428927003
cg21176048,chr3:179755235,0.016502871325626823,
cg21303011,chr3:24537177,0.011064352010618205,0.005549999885261059
cg21638219,chr3:15643617,,0.07641027470878756
cg22037648,chr3:50311009,0.0027699999045580626,0.012206838980729252
cg22863122,chr3:52090142,0.14183246841342967,
cg22907065,chr3:49449503,2.8606845736150825,0.03416641450153207
cg22986271,chr3:45730975,0.008265148534780681,0.16850803781711365
cg23180365,chr3:33138627,0.2485585112679512,0.020190368310603148
cg23844090,chr3:44903617,0.015498439219932185,0.03058030032311042
cg24077317,chr3:69129461,0.327337208389079,0.016639710225137896
cg24801210,chr3:101293432,0.0027699999045580626,0.4183620945399539
cg25436946,chr3:69101463,0.8527890040662297,0.025690199367753103
cg25756129,chr3:185655915,2.0967494029023532,
cg25870420,chr3:37493949,,0.011705869440144548
cg25905648,chr3:45731240,0.00902619928369003,0.16823725742369222
cg25999267,chr3:39424992,0.021360584862277585,0.3613920597142482
cg26124016,chr3:25469402,0.007395511106070545,
cg26152597,chr3:114865874,0.08471650475278968,0.013835353254707474
cg26301689,chr3:142681704,,
cg26376809,chr3:179370824,0.013640982786602626,0.018027142488530705
cg26889990,chr3:44903516,0.01688943907682752,0.03840127632233268
cg27088877,chr3:49967358,0.005549999885261059,
cg27437944,chr3:180630533,,0.22528471185261398
cg27485235,chr3:184080068,,0.01705779050216945
cg00072216,chr4:2263638,0.30181008300037027,0.0074760931707571485
cg00393585,chr4:165878091,0.0027699999045580626,0.015744100974725304
cg00514895,chr4:8594413,,
cg00783759,chr4:128983441,,0.03210209480990793
cg00940891,chr4:1006016,,0.017612677728991066
cg01331554,chr4:76598477,1.2646483806923705,0.008285375019477214
cg02496295,chr4:2846155,0.016283415871128294,0.0884720203826701
cg02918483,chr4:84406202,0.14298936797374012,0.012464444417460465
cg03109066,chr4:113153267,0.03375030529693452,0.057467954625791295
cg03292388,chr4:8594514,,
cg03482087,chr4:128886832,0.027848827440124423,0.1472621953017322
cg03544320,chr4:5894691,,
cg03586029,chr4:128886849,0.025096408594306792,0.14341700813289443
cg03771255,chr4:152020940,0.008657383179796911,14.953777451585298
cg03883519,chr4:128886524,0.06520812925963924,0.11453245294640862
cg05029288,chr4:39529354,0.015616315772364798,0.012073934337765466
cg05503412,chr4:57843540,1.0019257109510036,0.03472012551981095
cg05807991,chr4:118006808,,
cg06440646,chr4:146403418,0.014683203828222687,0.021112631197626654
cg06600412,chr4:185655239,0.03274187678658471,
cg07360076,chr4:1794639,,
cg08292112,chr4:39699959,,0.13541548732584552
cg09067967,chr4:39529342,0.019855600008741023,0.012785636278038675
cg09156233,chr4:95679705,,
cg09209002,chr4:71554199,0.00991843567963419,0.26564561506034035
cg09329496,chr4:140223063,0.028983964755471582,0.4042054610024961
cg09495977,chr4:8271507,,
cg09499698,chr4:68411154,1.5756381885730661,0.023760415270306548
cg09748975,chr4:4864532,,
cg10002561,chr4:122744832,0.01974054128555677,
cg10261589,chr4:103997969,0.15609249448057663,0.011739705948228823
cg10479325,chr4:128886426,0.14058184547540256,0.044985613388114805
cg11356705,chr4:77069568,0.7607905662780546,0.013869999907910824
cg12452946,chr4:128886867,0.024183391232247886,0.13364503789516607
cg12939527,chr4:2757706,0.7578061198653123,
cg13246654,chr4:114682613,1.036663118740567,0.014710258642993012
cg13359415,chr4:25032564,,
cg13564595,chr4:7069733,0.4049665675498545,0.004954285603681845
cg13704403,chr4:967460,,0.011090000160038471
cg13842258,chr4:41216271,0.03834794696099711,0.01384247515793189
cg16438432,chr4:83294858,0.5227401000528858,0.008638059208016401
cg16538604,chr4:2010703,0.12457437758066196,
cg16802152,chr4:184365888,0.0032395383701301537,0.8570139824705957
cg17259741,chr4:4291994,0.08928432956952409,0.08812454124347319
cg17269277,chr4:1796142,,
cg17849194,chr4:71553882,0.039525586898481395,0.01068541290529004
cg18342279,chr4:48492344,,0.0027699999045580626
cg18424538,chr4:6717981,,0.09806577454374864
cg18719814,chr4:47916640,0.039483316291105186,0.0027699999045580626
cg19278809,chr4:6785080,0.036919310061503154,0.10591339167588369
cg19445598,chr4:68566438,0.1172611979010545,
cg19616230,chr4:25657429,,
cg19905754,chr4:186317888,0.04450291772129158,0.06620304207050444
cg20088535,chr4:128802013,0.011318455355845997,0.0253458679923095
cg20166783,chr4:39367943,0.6641366981448383,0.004039130330531169
cg20303303,chr4:10118265,0.8907777296200377,0.015389481762670212
cg20326867,chr4:26862483,0.031997480875628995,0.2874431425584782
cg21721155,chr4:108910787,0.05173801298657752,0.004306315683367613
cg22127491,chr4:140217063,0.132706230433768,0.009035344799611204
cg22333016,chr4:54244258,0.0171914566061552,0.429109426062006
cg22385477,chr4:186392754,,0.02694843843984619
cg22461615,chr4:83821917,0.019937478509802826,0.07224904530404405
cg22734085,chr4:184020261,,0.035284721437688495
cg22831514,chr4:88312706,,0.004057318766844337
cg23653712,chr4:52904379,0.01963392225112401,
cg23657252,chr4:79697583,0.011618571577682382,0.030087403730547007
cg23916751,chr4:88929263,,0.14354810453115258
cg24199834,chr4:147560126,,
cg24693053,chr4:682834,0.06928731336730963,0.01764253216906323
cg25088874,chr4:95678817,,
cg25117976,chr4:39529365,0.0084199999390101,0.011534360811618486
cg26812418,chr4:166299976,,
cg27038439,chr4:4864320,0.0027699999045580626,
cg27507704,chr4:159593171,0.07013870796876977,0.012163605031361524
cg00386408,chr5:135364970,0.008157058838097489,0.4445113637795492
cg01500421,chr5:140070872,0.23378591719558653,0.15630568249616772
cg01737507,chr5:122372093,,
cg01805784,chr5:176873808,0.02287689826545724,0.20105147236340362
cg01936124,chr5:137878512,1.7265682055468572,
cg01982455,chr5:149829250,8.275777464510123,0.01801642340635133
cg02675896,chr5:102594347,,0.03190183409686209
cg03136712,chr5:140053068,0.025418950131423663,0.025806342560265746
cg03522216,chr5:32174578,0.0528991375929387,0.08396296756820489
cg04020816,chr5:109025456,0.046673241408165554,0.2345236662097108
cg04232649,chr5:162864489,0.007704384517497742,1.4046916818925153
cg04330449,chr5:134871166,,
cg04590931,chr5:133861743,0.01070456306712286,0.3209553613534146
cg04684516,chr5:121647858,,
cg04686412,chr5:139175658,,
cg04735745,chr5:76382885,0.042772219228862346,0.006571271666729381
cg04960652,chr5:172571539,,0.25632142611398484
cg05189291,chr5:157158457,0.01359770581256273,0.21897427954984147
cg05843340,chr5:68628618,0.013841199853147069,0.007881188119697098
cg06508445,chr5:121414088,0.004181384510145738,
cg07442479,chr5:37839769,,
cg07540118,chr5:157002713,0.2500421077199759,0.03306374681791055
cg07880061,chr5:176730198,0.2652012972379489,
cg08164315,chr5:40679182,0.556336435147949,0.01415840455694416
cg08424427,chr5:180670815,23.708390472211224,0.015928339546828763
cg08490173,chr5:114880508,0.08790121238791582,
cg08513100,chr5:133706722,0.024280989995201674,0.01885999981313944
cg08725962,chr5:175792493,,0.06162327276070684
cg09801842,chr5:174905852,0.006519659888658873,0.05909369083497664
cg10214058,chr5:154238169,0.016668351541099313,0.8225886811713625
cg10356060,chr5:138775106,0.04603532506599907,0.024854459385765162
cg10737521,chr5:179335243,,0.016448719257241107
cg10948883,chr5:176944132,0.03365891987314998,0.03847963462437564
cg10978355,chr5:80529340,0.005902398678668516,
cg11017269,chr5:95067136,0.0027699999045580626,0.06306326732578271
cg11057497,chr5:43313384,0.18533910168543866,
cg11100802,chr5:180688063,0.2694553876495421,0.09970349466136422
cg11141561,chr5:134074404,,0.6917791789156057
cg11154798,chr5:34656563,,
cg11591325,chr5:76012591,,0.013520947623849287
cg11732619,chr5:168728076,,
cg11946503,chr5:134870514,,
cg12080675,chr5:179335223,,0.016448719257241107
cg12126786,chr5:77656518,0.0328074315710323,0.2968332902470283
cg12168164,chr5:33441063,0.008881486536985313,0.3668555015760461
cg12430845,chr5:36876537,0.2545924697842384,0.081688105028838
cg12598575,chr5:173043653,0.15623600038890847,0.014081284069503269
