CpGmarker,chr:coord_hg19,Replication_timing_GSM923447,LaminB1_GSM1289416
cg24053619,chr2:61293272,67.1042709350586,1.7414342753532852
cg24076392,chr2:48667874,48.492210388183594,-1.189936279049448
cg24127874,chr2:239149859,75.13380432128906,0.8385684394115765
cg24767315,chr2:241525811,60.120784759521484,0.21022766167931353
cg24890043,chr2:135476297,39.10432815551758,0.5564606771182729
cg25596297,chr2:223162875,31.69849395751953,1.7717128787893492
cg25856179,chr2:191878705,82.75296020507812,2.285115417365163
cg25903497,chr2:219157103,75.82301330566406,2.758862839838119
cg25908985,chr2:219925065,71.790771484375,1.0680104507727464
cg26102760,chr2:242088848,71.9837417602539,-1.423613144558683
cg26900034,chr2:88355166,47.56386184692383,1.2035699170317398
cg00201234,chr3:13590968,49.36872863769531,0.8981827109376489
cg00522034,chr3:105587721,63.25761795043945,3.068655101418195
cg01216369,chr3:172859022,38.01902770996094,1.584499755193965
cg02164046,chr3:187388148,68.57232666015625,2.34968848115476
cg02699167,chr3:33319024,67.39234924316406,1.2351925003738788
cg03159785,chr3:170075773,79.10783386230469,4.654238439026647
cg03438904,chr3:197518158,72.5750961303711,1.7349560898857692
cg04228553,chr3:15247818,64.40505981445312,0.36794631096818287
cg04428853,chr3:52931532,72.3565955792282,0.3302954087592192
cg04531710,chr3:184032412,74.28310529371153,-0.14891739831463216
cg04614380,chr3:50192449,86.31723794913351,0.5532511676889222
cg04739570,chr3:127348611,74.10825960535064,2.369689747278276
cg04759439,chr3:56502612,27.234939570438833,0.9540603480651336
cg04836786,chr3:148804272,74.4737777709961,1.4405150843376027
cg04837898,chr3:45731254,76.89017486572266,1.8521305173260139
cg04970117,chr3:45838037,70.6125717163086,1.4106201287218245
cg05008406,chr3:118959563,69.86711453559096,3.0906284452986057
cg05280555,chr3:32727089,57.372188568115234,1.9311238726981041
cg05308617,chr3:137906066,71.21310424804688,0.18517201260595537
cg05369142,chr3:46735009,70.99468994140625,0.30565947054014997
cg05699592,chr3:48885332,82.27611028048166,-0.07141487138997998
cg05788437,chr3:197476880,73.97676849365234,2.909982338209897
cg05911610,chr3:131221850,24.68069076538086,4.962517210458328
cg06088032,chr3:50383227,83.6982421875,1.3695852100398738
cg06490988,chr3:128212001,72.07886505126953,1.054601815095176
cg07248043,chr3:125314337,72.4575300525846,1.3938516759752326
cg07356753,chr3:81810745,42.452083587646484,-0.5384576352177098
cg08563994,chr3:49823664,80.98832188936838,2.65184963019729
cg08574156,chr3:183979091,74.72193145751953,1.7136455412475529
cg08584430,chr3:49824184,80.99176025390625,-0.1666812918498474
cg08853659,chr3:139654245,14.470842361450195,1.1349533587619098
cg09307279,chr3:52739927,75.7586669921875,0.7962173977186457
cg09615786,chr3:98620581,82.5251319866228,0.5004042393014173
cg10553028,chr3:32280480,45.17604793634201,1.107209510106584
cg10920302,chr3:45430089,78.16637420654297,1.4636883261221783
cg11021744,chr3:11034279,69.4107437133789,0.9787921945304053
cg12062464,chr3:20081582,33.60451177468621,1.314114878549984
cg12149391,chr3:197025853,71.98047637939453,1.0372521320841175
cg12185908,chr3:20227516,25.498021446855883,2.150081422376993
cg12291552,chr3:167813648,41.432864553018696,-0.029016726113086384
cg13517305,chr3:126423553,55.34328308485987,2.322368945823208
cg13562542,chr3:71803339,65.23672586188947,0.8805209502239972
cg13577407,chr3:57994372,85.46204539843629,1.9123803704451554
cg13913917,chr3:182511332,47.65043024648158,1.598094902951411
cg14272175,chr3:58318960,78.13416290283203,0.7291694805026054
cg14415034,chr3:45730717,76.89017486572266,-0.21279657968045482
cg14452875,chr3:23987206,69.72599792480469,0.3034492821176947
cg14643520,chr3:141595277,66.9766616821289,2.0657111649173934
cg14911395,chr3:50311213,85.82455444335938,1.4737000274718257
cg15348799,chr3:170075452,79.09643413895681,1.185797483367043
cg15427774,chr3:39149258,60.06689453125,1.7979253032796028
cg15584630,chr3:150126560,83.50518424017471,2.018576020257599
cg15602950,chr3:45731220,76.89017486572266,2.0046428423234137
cg15705999,chr3:125093863,81.4000015258789,2.7012573836432296
cg15786541,chr3:110791063,53.628517150878906,3.8728268969269184
cg16225429,chr3:50365552,84.34307119317185,2.025169567136981
cg16382256,chr3:184279657,67.35246583172805,0.8846665800218317
cg16418163,chr3:140950828,83.08218383789062,1.3705972337002117
cg17804987,chr3:50654788,69.75975036621094,2.620875881060545
cg17877494,chr3:38178256,69.1841812133789,2.175602361297127
cg18313110,chr3:139108398,46.24646521209184,1.9797919839245246
cg18986332,chr3:33759647,66.57816826494555,0.9497487400505945
cg19049316,chr3:61237063,30.29096031188965,0.9306416376787109
cg19188060,chr3:184017239,74.50772094726562,4.261146524090611
cg19547629,chr3:39851641,16.70579418458249,1.926190397451146
cg19591206,chr3:133748809,74.50975799560547,1.6837608480933932
cg19591588,chr3:45730799,76.89017486572266,0.5300649419539522
cg19709625,chr3:142607981,37.14855194091797,2.6437005285051667
cg20074371,chr3:31574495,38.07099263864265,1.6811148935661508
cg20247102,chr3:141206102,85.50505828857422,0.45700335037197815
cg20402382,chr3:49711530,77.68097058912169,-0.19014375527349467
cg20449692,chr3:170136920,80.23284912109375,1.9757317514803907
cg20591405,chr3:133614578,67.0126131966227,1.556744714527947
cg20852286,chr3:93781624,24.36788246934848,-0.6745671506792832
cg20856064,chr3:49027210,80.53118133544922,0.4665486460612613
cg20916523,chr3:10184584,83.6408419145313,3.798368789687265
cg21176048,chr3:179755235,33.99501037597656,0.07955296255028818
cg21303011,chr3:24537177,25.748340606689453,1.9158144979092577
cg21638219,chr3:15643617,81.51765196460144,-1.5523251251549806
cg22037648,chr3:50311009,85.82455444335938,1.1366046176148903
cg22863122,chr3:52090142,85.57112121582031,1.262636161421048
cg22907065,chr3:49449503,83.1144648335521,-2.3170228998366773
cg22986271,chr3:45730975,76.89017486572266,2.538174920028043
cg23180365,chr3:33138627,65.28256225585938,1.8621583691321932
cg23844090,chr3:44903617,80.64816284179688,1.0761964087672438
cg24077317,chr3:69129461,42.97432000024658,2.221536124833585
cg24801210,chr3:101293432,69.20094542848202,2.892550106012551
cg25436946,chr3:69101463,42.417691789660374,-0.21326254948185433
cg25756129,chr3:185655915,76.36249542236328,-0.8833144611915954
cg25870420,chr3:37493949,70.64495849609375,1.0651300079576314
cg25905648,chr3:45731240,76.89017486572266,1.914929709972002
cg25999267,chr3:39424992,45.167625427246094,1.19163945850257
cg26124016,chr3:25469402,29.35474093715449,2.9186112292167223
cg26152597,chr3:114865874,52.107337951660156,0.6045120529624016
cg26301689,chr3:142681704,38.200599670410156,2.1142083262316227
cg26376809,chr3:179370824,65.11402130126953,0.4984180717083909
cg26889990,chr3:44903516,80.63429260253906,1.2788826257966328
cg27088877,chr3:49967358,82.90578639537021,0.8053577325356097
cg27437944,chr3:180630533,21.060025193744764,2.61887244493595
cg27485235,chr3:184080068,73.272216796875,2.1938720174340216
cg00072216,chr4:2263638,69.89893712069923,0.34867371900255795
cg00393585,chr4:165878091,15.474860191345215,1.4724036043777273
cg00514895,chr4:8594413,57.66454846008757,1.8485810921271741
cg00783759,chr4:128983441,69.73264952015104,3.680267036561702
cg00940891,chr4:1006016,77.52986907958984,0.9265980659526601
cg01331554,chr4:76598477,63.86270160627484,2.9049993694128857
cg02496295,chr4:2846155,78.86070251464844,1.8378748088812347
cg02918483,chr4:84406202,49.354888916015625,0.6463069035964889
cg03109066,chr4:113153267,48.708919525146484,2.8376862519333885
cg03292388,chr4:8594514,57.637603531454566,1.42936716326313
cg03482087,chr4:128886832,67.96959686279297,2.8849156761649875
cg03544320,chr4:5894691,48.87051869152193,0.018654779190906048
cg03586029,chr4:128886849,67.96959686279297,3.0787049712101817
cg03771255,chr4:152020940,46.109867095947266,4.524839828837128
cg03883519,chr4:128886524,67.95759561591018,-0.6236029799173701
cg05029288,chr4:39529354,82.77927050507277,-1.4245660588783342
cg05503412,chr4:57843540,68.84653646036277,1.7991093950397723
cg05807991,chr4:118006808,11.286327362060547,-0.016691957748206497
cg06440646,chr4:146403418,50.7521076820735,1.5689716854083449
cg06600412,chr4:185655239,43.94154739379883,7.828661102491902
cg07360076,chr4:1794639,84.2960287270106,0.9081897465535615
cg08292112,chr4:39699959,81.3499984741211,1.192919136932875
cg09067967,chr4:39529342,82.77870863155832,-1.528837685170642
cg09156233,chr4:95679705,60.20265579223633,0.5344737102875782
cg09209002,chr4:71554199,71.77387237548828,1.742477921792482
cg09329496,chr4:140223063,81.5390396118164,4.63028022264053
cg09495977,chr4:8271507,77.98350983427052,0.9122328916634961
cg09499698,chr4:68411154,34.47235107421875,1.1619657960436507
cg09748975,chr4:4864532,55.236521142973864,1.8306169121031197
cg10002561,chr4:122744832,80.3094482421875,3.044031251888131
cg10261589,chr4:103997969,56.66062545776367,0.49221732461782786
cg10479325,chr4:128886426,67.95091310344135,-0.736549006789097
cg11356705,chr4:77069568,61.51658293612283,4.006591762043066
cg12452946,chr4:128886867,67.96959686279297,3.2023079491382282
cg12939527,chr4:2757706,81.02083587646484,2.861473008727547
cg13246654,chr4:114682613,76.77704159934028,1.918178006894042
cg13359415,chr4:25032564,43.88865002372913,0.7344116733153762
cg13564595,chr4:7069733,72.03868865966797,0.9569126331535935
cg13704403,chr4:967460,76.1209171323705,-0.1147686240054498
cg13842258,chr4:41216271,65.99803924560547,1.0834411081649193
cg16438432,chr4:83294858,66.61457061767578,2.3754357051489037
cg16538604,chr4:2010703,78.04374694824219,0.3528271777653874
cg16802152,chr4:184365888,75.78754425048828,1.3457198165526019
cg17259741,chr4:4291994,51.98173141479492,0.9784975284593231
cg17269277,chr4:1796142,84.3111801147461,1.4866096394826243
cg17849194,chr4:71553882,71.77387237548828,2.965087464008884
cg18342279,chr4:48492344,61.25372738731175,2.632890037460351
cg18424538,chr4:6717981,75.65003967285156,1.1980080148134784
cg18719814,chr4:47916640,45.70006058043673,0.9626658681958389
cg19278809,chr4:6785080,76.48715209960938,1.6606679821494845
cg19445598,chr4:68566438,33.9647805934535,0.5760472586955546
cg19616230,chr4:25657429,53.68566308532867,0.8851651936975925
cg19905754,chr4:186317888,50.00545120239258,2.8951334785153944
