title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	gender:ch1	phenotype:ch1	tissue:ch1
11378.s1	GSM1013185	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11383.s1	GSM1013186	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11429.s1	GSM1013187	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11498.s1	GSM1013188	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11641.s1	GSM1013189	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11004.s1	GSM1013190	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11052.s1	GSM1013191	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11057.s1	GSM1013192	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11075.s1	GSM1013193	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11089.s1	GSM1013194	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11156.s1	GSM1013195	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11197.s1	GSM1013196	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11201.s1	GSM1013197	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11216.s1	GSM1013198	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11285.s1	GSM1013199	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11299.s1	GSM1013200	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11325.s1	GSM1013201	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11415.s1	GSM1013202	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11417.s1	GSM1013203	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11428.s1	GSM1013204	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11452.s1	GSM1013205	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11459.s1	GSM1013206	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11484.s1	GSM1013207	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11511.s1	GSM1013208	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
