CpGmarker,chr,pos
cg04531710,chr3,184032412
cg04614380,chr3,50192449
cg04739570,chr3,127348611
cg04759439,chr3,56502612
cg04836786,chr3,148804272
cg04837898,chr3,45731254
cg04970117,chr3,45838037
cg05008406,chr3,118959563
cg05280555,chr3,32727089
cg05308617,chr3,137906066
cg05369142,chr3,46735009
cg05699592,chr3,48885332
cg05788437,chr3,197476880
cg05911610,chr3,131221850
cg06088032,chr3,50383227
cg06490988,chr3,128212001
cg07248043,chr3,125314337
cg07356753,chr3,81810745
cg08563994,chr3,49823664
cg08574156,chr3,183979091
cg08584430,chr3,49824184
cg08853659,chr3,139654245
cg09307279,chr3,52739927
cg09615786,chr3,98620581
cg10553028,chr3,32280480
cg10920302,chr3,45430089
cg11021744,chr3,11034279
cg12062464,chr3,20081582
cg12149391,chr3,197025853
cg12185908,chr3,20227516
cg12291552,chr3,167813648
cg13517305,chr3,126423553
cg13562542,chr3,71803339
cg13577407,chr3,57994372
cg13913917,chr3,182511332
cg14272175,chr3,58318960
cg14415034,chr3,45730717
cg14452875,chr3,23987206
cg14643520,chr3,141595277
cg14911395,chr3,50311213
cg15348799,chr3,170075452
cg15427774,chr3,39149258
cg15584630,chr3,150126560
cg15602950,chr3,45731220
cg15705999,chr3,125093863
cg15786541,chr3,110791063
cg16225429,chr3,50365552
cg16382256,chr3,184279657
cg16418163,chr3,140950828
cg17804987,chr3,50654788
cg17877494,chr3,38178256
cg18313110,chr3,139108398
cg18986332,chr3,33759647
cg19049316,chr3,61237063
cg19188060,chr3,184017239
cg19547629,chr3,39851641
cg19591206,chr3,133748809
cg19591588,chr3,45730799
cg19709625,chr3,142607981
cg20074371,chr3,31574495
cg20247102,chr3,141206102
cg20402382,chr3,49711530
cg20449692,chr3,170136920
cg20591405,chr3,133614578
cg20852286,chr3,93781624
cg20856064,chr3,49027210
cg20916523,chr3,10184584
cg21176048,chr3,179755235
cg21303011,chr3,24537177
cg21638219,chr3,15643617
cg22037648,chr3,50311009
cg22863122,chr3,52090142
cg22907065,chr3,49449503
cg22986271,chr3,45730975
cg23180365,chr3,33138627
cg23844090,chr3,44903617
cg24077317,chr3,69129461
cg24801210,chr3,101293432
cg25436946,chr3,69101463
cg25756129,chr3,185655915
cg25870420,chr3,37493949
cg25905648,chr3,45731240
cg25999267,chr3,39424992
cg26124016,chr3,25469402
cg26152597,chr3,114865874
cg26301689,chr3,142681704
cg26376809,chr3,179370824
cg26889990,chr3,44903516
cg27088877,chr3,49967358
cg27437944,chr3,180630533
cg27485235,chr3,184080068
cg00072216,chr4,2263638
cg00393585,chr4,165878091
cg00514895,chr4,8594413
cg00783759,chr4,128983441
cg00940891,chr4,1006016
cg01331554,chr4,76598477
cg02496295,chr4,2846155
cg02918483,chr4,84406202
cg03109066,chr4,113153267
cg03292388,chr4,8594514
cg03482087,chr4,128886832
cg03544320,chr4,5894691
cg03586029,chr4,128886849
cg03771255,chr4,152020940
cg03883519,chr4,128886524
cg05029288,chr4,39529354
cg05503412,chr4,57843540
cg05807991,chr4,118006808
cg06440646,chr4,146403418
cg06600412,chr4,185655239
cg07360076,chr4,1794639
cg08292112,chr4,39699959
cg09067967,chr4,39529342
cg09156233,chr4,95679705
cg09209002,chr4,71554199
cg09329496,chr4,140223063
cg09495977,chr4,8271507
cg09499698,chr4,68411154
cg09748975,chr4,4864532
cg10002561,chr4,122744832
cg10261589,chr4,103997969
cg10479325,chr4,128886426
cg11356705,chr4,77069568
cg12452946,chr4,128886867
cg12939527,chr4,2757706
cg13246654,chr4,114682613
cg13359415,chr4,25032564
cg13564595,chr4,7069733
cg13704403,chr4,967460
cg13842258,chr4,41216271
cg16438432,chr4,83294858
cg16538604,chr4,2010703
cg16802152,chr4,184365888
cg17259741,chr4,4291994
cg17269277,chr4,1796142
cg17849194,chr4,71553882
cg18342279,chr4,48492344
cg18424538,chr4,6717981
cg18719814,chr4,47916640
cg19278809,chr4,6785080
cg19445598,chr4,68566438
cg19616230,chr4,25657429
cg19905754,chr4,186317888
cg20088535,chr4,128802013
cg20166783,chr4,39367943
cg20303303,chr4,10118265
cg20326867,chr4,26862483
cg21721155,chr4,108910787
cg22127491,chr4,140217063
cg22333016,chr4,54244258
cg22385477,chr4,186392754
cg22461615,chr4,83821917
cg22734085,chr4,184020261
cg22831514,chr4,88312706
cg23653712,chr4,52904379
cg23657252,chr4,79697583
cg23916751,chr4,88929263
cg24199834,chr4,147560126
cg24693053,chr4,682834
cg25088874,chr4,95678817
cg25117976,chr4,39529365
cg26812418,chr4,166299976
cg27038439,chr4,4864320
cg27507704,chr4,159593171
cg00386408,chr5,135364970
cg01500421,chr5,140070872
cg01737507,chr5,122372093
cg01805784,chr5,176873808
cg01936124,chr5,137878512
cg01982455,chr5,149829250
cg02675896,chr5,102594347
cg03136712,chr5,140053068
cg03522216,chr5,32174578
cg04020816,chr5,109025456
cg04232649,chr5,162864489
cg04330449,chr5,134871166
cg04590931,chr5,133861743
cg04684516,chr5,121647858
cg04686412,chr5,139175658
cg04735745,chr5,76382885
cg04960652,chr5,172571539
cg05189291,chr5,157158457
cg05843340,chr5,68628618
cg06508445,chr5,121414088
cg07442479,chr5,37839769
cg07540118,chr5,157002713
cg07880061,chr5,176730198
cg08164315,chr5,40679182
cg08424427,chr5,180670815
cg08490173,chr5,114880508
cg08513100,chr5,133706722
cg08725962,chr5,175792493
cg09801842,chr5,174905852
cg10214058,chr5,154238169
cg10356060,chr5,138775106
cg10737521,chr5,179335243
cg10948883,chr5,176944132
cg10978355,chr5,80529340
cg11017269,chr5,95067136
cg11057497,chr5,43313384
cg11100802,chr5,180688063
cg11141561,chr5,134074404
cg11154798,chr5,34656563
cg11591325,chr5,76012591
cg11732619,chr5,168728076
cg11946503,chr5,134870514
cg12080675,chr5,179335223
cg12126786,chr5,77656518
cg12168164,chr5,33441063
cg12430845,chr5,36876537
cg12598575,chr5,173043653
cg12766348,chr5,178054039
cg12871124,chr5,110848106
cg14161426,chr5,96143592
cg14409941,chr5,178771781
cg15219393,chr5,149109878
cg16257040,chr5,177557700
cg16509658,chr5,160975347
cg16821394,chr5,141488611
cg17178888,chr5,159739851
cg17811228,chr5,139175116
cg17946497,chr5,172198141
cg19238398,chr5,138775248
cg19704039,chr5,141392512
cg19885761,chr5,175223646
cg20044189,chr5,141704548
cg20060451,chr5,179159945
cg20986134,chr5,126112439
cg21101222,chr5,151138161
cg21703138,chr5,133561950
cg22229034,chr5,172198031
cg22913584,chr5,81046758
cg23091824,chr5,1112355
cg23953133,chr5,126112875
cg23983884,chr5,176900806
cg24003306,chr5,1799717
cg24371225,chr5,43192392
cg24886748,chr5,1111731
cg25084220,chr5,126366197
cg25159610,chr5,57756802
cg25177452,chr5,72416677
cg25707005,chr5,138775200
cg25720804,chr5,170736389
cg26054540,chr5,1009204
cg26361928,chr5,151151522
cg26399201,chr5,132149404
cg26747293,chr5,38258670
cg26796283,chr5,174151334
cg26929490,chr5,36877626
cg27116713,chr5,176853836
cg00347904,chr6,35182508
cg00502442,chr6,157801893
cg00620629,chr6,116989951
cg00702231,chr6,144329473
cg00839802,chr6,119671238
cg00984602,chr6,43139692
cg01505176,chr6,31763310
cg01594214,chr6,123110554
cg01818492,chr6,132129363
cg01932459,chr6,109703513
cg01998682,chr6,151712546
cg02128567,chr6,39196998
cg02257681,chr6,31698002
cg02322621,chr6,33422403
cg03298413,chr6,32095941
cg03447931,chr6,7726645
cg03969906,chr6,26021768
cg04006554,chr6,46138530
cg04329454,chr6,33561099
cg04600618,chr6,43612980
cg04623837,chr6,29943414
cg04878727,chr6,28317483
cg05360265,chr6,147525477
cg06659073,chr6,158589307
cg06913228,chr6,90062465
cg07077459,chr6,144329052
cg07336230,chr6,39693357
cg07914959,chr6,91006321
cg07935151,chr6,31774618
cg07936037,chr6,7313172
cg07940485,chr6,111409222
cg08179530,chr6,36648295
cg08738040,chr6,42896906
cg08826863,chr6,43738006
cg09384159,chr6,112408580
cg09472953,chr6,146056770
cg09657265,chr6,123110763
cg09834205,chr6,150185198
cg11763112,chr6,84937277
cg12757684,chr6,144329485
cg12963312,chr6,52441723
cg13562911,chr6,11044106
cg14338887,chr6,42928500
cg14363494,chr6,33176234
cg14402472,chr6,29691165
cg14426525,chr6,123110598
cg14839932,chr6,43139162
cg15256539,chr6,80816434
cg16041611,chr6,43139680
cg16842485,chr6,31628639
cg17055145,chr6,76459077
cg17329164,chr6,32121259
cg18055007,chr6,31698226
cg18189601,chr6,33176225
cg18217172,chr6,139309321
cg18247054,chr6,167369941
cg18335933,chr6,2765945
cg18387216,chr6,114291911
cg18418460,chr6,150390014
cg18630040,chr6,46702983
cg18654873,chr6,91296666
cg19595170,chr6,43139150
cg20225889,chr6,33285470
cg21195414,chr6,53213871
cg21273098,chr6,109762418
cg21663580,chr6,43044771
cg21769943,chr6,37137738
cg22378065,chr6,144329172
cg22407458,chr6,35109121
cg22874560,chr6,37225361
cg23076086,chr6,112194849
cg23244913,chr6,29943401
cg23390397,chr6,109777103
cg23429696,chr6,71665936
cg23833452,chr6,146864752
cg24000189,chr6,30710425
cg24311382,chr6,132272408
cg24358465,chr6,27100860
cg24450157,chr6,30640543
cg24847163,chr6,29600980
cg25211525,chr6,3751739
cg25885771,chr6,27806081
cg26252167,chr6,110300573
cg26331192,chr6,24775229
cg26845300,chr6,158243833
cg27331144,chr6,33175688
cg27472295,chr6,83073619
cg00084687,chr7,92076896
cg00288562,chr7,23571645
cg01048931,chr7,55639931
cg01888566,chr7,130126513
cg02096656,chr7,139025181
cg02376703,chr7,143106130
cg02661879,chr7,128470614
cg03266904,chr7,135194685
cg03311036,chr7,142985443
cg04350646,chr7,42972170
cg04619859,chr7,134855396
cg04770504,chr7,24797363
cg05526376,chr7,97736360
cg05669210,chr7,100450634
cg05953394,chr7,151573773
cg06161738,chr7,151722986
cg07050831,chr7,139025240
cg07424155,chr7,116503126
cg07651242,chr7,45614720
cg07671603,chr7,156433350
cg07681084,chr7,156685826
cg07819926,chr7,139025145
cg08107767,chr7,56019574
cg08434234,chr7,137531173
cg08572611,chr7,100253914
cg08575537,chr7,100318626
cg08635249,chr7,127983877
cg08703595,chr7,35734160
cg08724636,chr7,39663756
cg09283635,chr7,127032512
cg09450020,chr7,89841435
cg10158711,chr7,148725822
cg10256052,chr7,99036534
cg10293925,chr7,38670985
cg10442358,chr7,100137102
cg10551759,chr7,121036528
cg10639440,chr7,30029231
cg10698222,chr7,99756139
cg10857807,chr7,2272392
cg11051843,chr7,80548695
cg11166252,chr7,17338258
cg11528101,chr7,43909044
cg11592951,chr7,100472745
cg11609154,chr7,139026010
cg11719452,chr7,100027776
cg11959821,chr7,45151241
cg12588476,chr7,99647494
cg12776163,chr7,35840706
cg12782180,chr7,127880932
cg12838902,chr7,5322586
cg13369981,chr7,100027501
cg13679077,chr7,22862647
cg13801416,chr7,134143919
cg14001567,chr7,86974838
cg14018807,chr7,127225619
cg14094063,chr7,140624470
cg14094960,chr7,55086890
cg14785449,chr7,97501736
cg15413566,chr7,8301971
cg15740366,chr7,128049868
cg15816080,chr7,65670215
cg15898840,chr7,45960834
cg16040953,chr7,1609817
cg16063666,chr7,86974833
cg16192029,chr7,117864674
cg17607973,chr7,100027408
cg18349835,chr7,158937107
cg18417464,chr7,139025179
cg18515291,chr7,73134093
cg18577494,chr7,100033938
cg18705067,chr7,75914998
cg19118812,chr7,37488438
cg19221959,chr7,94537347
cg19594666,chr7,127881280
cg19744122,chr7,105752980
cg19747852,chr7,23571693
cg19781133,chr7,150674980
cg20052718,chr7,19156902
cg20122491,chr7,99102313
cg20419410,chr7,155089803
cg21270593,chr7,94293250
cg21685565,chr7,2883529
cg22920873,chr7,139025153
cg24000099,chr7,6487512
cg24302095,chr7,50861049
cg24315860,chr7,105029492
cg24446548,chr7,19157263
cg24481633,chr7,111846146
cg25167643,chr7,121513538
cg25167838,chr7,155605092
cg25533361,chr7,2395147
cg25691167,chr7,19184961
cg25946952,chr7,143059218
cg26083396,chr7,128049885
cg26521404,chr7,27204981
cg26561611,chr7,73097960
cg26817382,chr7,44621808
cg27009703,chr7,27204894
cg27076139,chr7,31091718
cg27190537,chr7,56131961
cg27268486,chr7,79764291
cg00317680,chr8,97274070
cg01399317,chr8,144810339
cg01677098,chr8,54935025
cg01806808,chr8,142011144
cg02617361,chr8,42911308
cg04017769,chr8,38644939
cg04228628,chr8,9413457
cg04333463,chr8,62626687
cg06281795,chr8,91095114
cg06333435,chr8,22102724
cg06543761,chr8,94929239
cg07103819,chr8,145550365
cg07490776,chr8,42010169
cg07595113,chr8,67525279
cg08811349,chr8,124286482
cg08825571,chr8,145159373
cg08949296,chr8,75233153
cg09664442,chr8,681122
cg10220156,chr8,29120487
cg10303487,chr8,105479058
cg10368981,chr8,26435313
cg10473004,chr8,87526705
cg10964421,chr8,23021093
cg11238505,chr8,145691776
cg11617144,chr8,145729772
cg11856918,chr8,20054956
cg12254515,chr8,124054090
cg12270520,chr8,146023939
cg12508214,chr8,124553600
cg13405161,chr8,141646303
cg13592003,chr8,146126815
cg13612524,chr8,37593879
cg13912117,chr8,132054555
cg13983578,chr8,29208153
cg14015044,chr8,22960619
cg14830952,chr8,86089500
cg14900471,chr8,11561620
cg15839448,chr8,41166530
cg15857475,chr8,145742913
cg16060664,chr8,42010866
cg16241714,chr8,48650511
cg16286776,chr8,141644897
cg16326979,chr8,107670161
cg17150465,chr8,144897558
cg17162024,chr8,53478454
cg17168535,chr8,21777572
cg17452277,chr8,110551976
cg17457560,chr8,32405851
cg18070061,chr8,29207457
cg19139277,chr8,28243953
cg20672744,chr8,681352
cg20888907,chr8,38244244
cg21099326,chr8,27168591
cg21281001,chr8,11725306
cg22870256,chr8,11660209
cg23045373,chr8,11324048
cg23290344,chr8,24771466
cg23324259,chr8,82754387
cg23512958,chr8,79717776
cg25192419,chr8,25042348
cg25358938,chr8,29940886
cg25751295,chr8,29208540
cg25781202,chr8,33424350
cg25788012,chr8,145133899
cg25990647,chr8,54164081
cg26421123,chr8,146078231
cg26910651,chr8,30669848
cg27016990,chr8,133492476
cg27170159,chr8,101170019
cg00475955,chr9,131592049
cg01618660,chr9,100882376
cg01725199,chr9,101569990
cg02058918,chr9,101470884
cg02068676,chr9,140149483
cg02608019,chr9,93564028
cg02942159,chr9,19379994
cg03079681,chr9,21994223
cg03243895,chr9,131314908
cg03261004,chr9,139981660
cg03804985,chr9,130159694
cg03848555,chr9,77567361
cg03950009,chr9,102669115
cg04065065,chr9,35096250
cg05801648,chr9,93564456
cg06087537,chr9,36401074
cg06252382,chr9,115913783
cg06383088,chr9,100459634
cg06974755,chr9,135996931
cg07027685,chr9,95055737
cg07309102,chr9,110251826
cg07772309,chr9,140353475
cg07981910,chr9,124461412
cg08101172,chr9,15510857
cg08128768,chr9,124462182
cg08287471,chr9,127020658
cg08758850,chr9,127533554
cg09000510,chr9,35605352
cg09092161,chr9,130639739
cg09160477,chr9,95820913
cg09431062,chr9,131790499
cg09944147,chr9,116918247
cg10319505,chr9,85678251
cg10524192,chr9,34637478
cg10604703,chr9,137001737
cg11184091,chr9,131843633
cg11222041,chr9,132586346
cg11613875,chr9,27573889
cg11747771,chr9,6645468
cg11797883,chr9,127631644
cg12004206,chr9,138987102
cg12085225,chr9,135230256
cg12927153,chr9,125133318
cg12998491,chr9,134152531
cg13033853,chr9,133814399
cg13789236,chr9,79009433
cg14060836,chr9,88897456
cg14139633,chr9,131103210
cg14304761,chr9,93564149
cg14507042,chr9,139781209
cg14707431,chr9,100395413
cg14829378,chr9,33167077
cg15003434,chr9,136202985
cg15636365,chr9,140446240
cg15720535,chr9,139582585
cg15852879,chr9,132404411
cg16645539,chr9,15422589
cg17185543,chr9,139760589
cg17792192,chr9,138774526
cg18453621,chr9,129376904
cg18794577,chr9,104501030
cg19133618,chr9,22008970
cg19432894,chr9,33025349
cg20616414,chr9,95947396
cg21060854,chr9,132565518
cg21618439,chr9,100954694
cg21925493,chr9,95858671
cg22336401,chr9,140336227
cg22419075,chr9,140008995
cg23074747,chr9,27573817
cg23378495,chr9,35096265
cg23788167,chr9,74979561
cg24088229,chr9,33076554
cg25106814,chr9,26892479
cg25282780,chr9,4741505
cg25287375,chr9,77703619
cg25336579,chr9,80912260
cg25418831,chr9,79792647
cg25902460,chr9,126030596
cg25910443,chr9,97488953
cg26233529,chr9,37801319
cg26277709,chr9,97488940
cg26315493,chr9,35071724
cg27627570,chr9,131183239
cg00471562,chr10,1102373
cg01805540,chr10,18429749
cg01819863,chr10,32635814
cg01994328,chr10,30723347
cg02163937,chr10,126432368
cg02756614,chr10,95242111
cg02848777,chr10,98273714
cg03076324,chr10,22292468
cg03157149,chr10,5855170
cg03285457,chr10,102988529
cg03366896,chr10,135186866
cg03479974,chr10,5931970
cg03860051,chr10,124768608
cg04180868,chr10,25241462
cg04233664,chr10,126848743
cg04335339,chr10,116853118
cg04451988,chr10,15412706
cg04586563,chr10,736974
cg04745698,chr10,12084977
cg05018361,chr10,18940650
cg05499853,chr10,15902324
cg05610379,chr10,123734658
cg05621401,chr10,43572065
cg05937453,chr10,99531765
cg06077733,chr10,60094879
cg06222851,chr10,50970358
cg06782692,chr10,134121419
cg07011445,chr10,123734712
cg07550278,chr10,95462365
cg08441170,chr10,26223100
cg08441806,chr10,134599149
cg09053680,chr10,135044114
cg09161592,chr10,91405006
cg09186006,chr10,91295299
cg09773756,chr10,99259519
cg09906488,chr10,12391008
cg10488141,chr10,104264014
cg10830758,chr10,95462430
cg10845200,chr10,135150485
cg10957200,chr10,14880574
cg11389172,chr10,50818299
cg11638200,chr10,6621965
cg11993300,chr10,75571334
cg12005098,chr10,91295338
cg12042678,chr10,14920910
cg12239750,chr10,97416566
cg12331389,chr10,95360736
cg12434587,chr10,131265209
cg12874092,chr10,17271519
cg12955583,chr10,134974048
cg14519036,chr10,93558457
cg14607011,chr10,135171746
cg14767877,chr10,73611073
cg15109571,chr10,104264023
cg15431576,chr10,99393007
cg16248277,chr10,103536063
cg16584573,chr10,103535637
cg16687447,chr10,89623336
cg17776353,chr10,88516420
cg17854497,chr10,13390774
cg17947053,chr10,1102371
cg19626078,chr10,134973796
cg19706602,chr10,131265435
cg19955521,chr10,1102667
cg20778294,chr10,103892833
cg21201659,chr10,121652288
cg21235838,chr10,97321106
cg21830413,chr10,70884251
cg22368262,chr10,71390173
cg22864416,chr10,97803525
cg23163471,chr10,30024328
cg24079455,chr10,127408106
cg24166097,chr10,103543259
cg24343515,chr10,99400468
cg24428042,chr10,11784408
cg24573310,chr10,60029455
cg25294646,chr10,105678198
cg25920792,chr10,124220729
cg26358059,chr10,106014893
cg26538214,chr10,3827359
cg26649005,chr10,44144023
cg27352063,chr10,81107211
cg27547703,chr10,115939024
cg00078194,chr11,46402949
cg00146096,chr11,22647309
cg00156216,chr11,129939849
cg00469635,chr11,73882471
cg01086895,chr11,6676515
cg01263716,chr11,2951590
cg01505590,chr11,2950632
cg01693350,chr11,32452187
cg01924993,chr11,118966382
cg02271621,chr11,1592675
cg02441831,chr11,64901569
cg02547138,chr11,66610782
cg02646854,chr11,64863958
cg02659086,chr11,67350976
cg02715140,chr11,65625717
cg02723533,chr11,69468991
