CpGmarker,chr:coord_hg19,Gene_body,CGI,Shore,Shelf,ChrHMM_state
cg16225429,chr3:50365552,True,True,False,False,3
cg16382256,chr3:184279657,True,True,False,False,23
cg16418163,chr3:140950828,True,True,True,False,1
cg17804987,chr3:50654788,True,True,False,False,3
cg17877494,chr3:38178256,True,True,True,False,3
cg18313110,chr3:139108398,True,True,False,False,3
cg18986332,chr3:33759647,True,True,False,False,1
cg19049316,chr3:61237063,True,True,False,False,1
cg19188060,chr3:184017239,True,True,False,False,3
cg19547629,chr3:39851641,True,True,False,False,23
cg19591206,chr3:133748809,True,True,True,False,23
cg19591588,chr3:45730799,True,True,True,False,1
cg19709625,chr3:142607981,True,True,False,False,2
cg20074371,chr3:31574495,True,True,False,False,3
cg20247102,chr3:141206102,True,True,True,False,1
cg20402382,chr3:49711530,True,True,False,False,1
cg20449692,chr3:170136920,True,True,False,False,23
cg20591405,chr3:133614578,True,True,False,False,2
cg20852286,chr3:93781624,True,False,True,False,1
cg20856064,chr3:49027210,False,True,False,False,3
cg20916523,chr3:10184584,True,False,True,False,9
cg21176048,chr3:179755235,False,True,False,False,23
cg21303011,chr3:24537177,True,True,False,False,2
cg21638219,chr3:15643617,True,False,True,False,1
cg22037648,chr3:50311009,True,True,True,False,23
cg22863122,chr3:52090142,True,True,True,False,3
cg22907065,chr3:49449503,True,True,False,False,1
cg22986271,chr3:45730975,True,True,True,False,1
cg23180365,chr3:33138627,True,True,False,False,1
cg23844090,chr3:44903617,True,True,False,False,1
cg24077317,chr3:69129461,True,True,False,False,1
cg24801210,chr3:101293432,True,True,False,False,3
cg25436946,chr3:69101463,True,True,False,False,1
cg25756129,chr3:185655915,True,True,False,False,1
cg25870420,chr3:37493949,True,True,False,False,22
cg25905648,chr3:45731240,True,True,True,False,3
cg25999267,chr3:39424992,True,True,False,False,3
cg26124016,chr3:25469402,True,False,False,False,2
cg26152597,chr3:114865874,True,True,False,False,1
cg26301689,chr3:142681704,True,True,False,False,23
cg26376809,chr3:179370824,True,True,False,False,1
cg26889990,chr3:44903516,True,True,False,False,1
cg27088877,chr3:49967358,True,True,False,False,2
cg27437944,chr3:180630533,True,True,False,False,3
cg27485235,chr3:184080068,True,True,False,False,3
cg00072216,chr4:2263638,True,True,False,False,1
cg00393585,chr4:165878091,True,True,False,False,2
cg00514895,chr4:8594413,True,True,False,False,23
cg00783759,chr4:128983441,True,True,False,False,3
cg00940891,chr4:1006016,True,True,True,False,2
cg01331554,chr4:76598477,True,True,False,False,3
cg02496295,chr4:2846155,True,True,False,False,3
cg02918483,chr4:84406202,True,True,False,False,1
cg03109066,chr4:113153267,True,True,False,False,3
cg03292388,chr4:8594514,True,True,False,False,23
cg03482087,chr4:128886832,True,True,False,False,3
cg03544320,chr4:5894691,True,True,False,True,24
cg03586029,chr4:128886849,True,True,False,False,3
cg03771255,chr4:152020940,True,True,False,False,3
cg03883519,chr4:128886524,True,True,False,False,1
cg05029288,chr4:39529354,True,True,False,False,1
cg05503412,chr4:57843540,True,True,True,False,3
cg05807991,chr4:118006808,False,True,False,False,1
cg06440646,chr4:146403418,True,True,False,False,1
cg06600412,chr4:185655239,True,True,False,False,1
cg07360076,chr4:1794639,False,True,False,False,2
cg08292112,chr4:39699959,True,True,False,False,3
cg09067967,chr4:39529342,True,True,False,False,1
cg09156233,chr4:95679705,True,True,False,False,23
cg09209002,chr4:71554199,True,True,False,False,1
cg09329496,chr4:140223063,True,True,False,False,3
cg09495977,chr4:8271507,True,True,False,False,22
cg09499698,chr4:68411154,True,True,False,False,3
cg09748975,chr4:4864532,True,True,True,False,24
cg10002561,chr4:122744832,True,True,False,False,3
cg10261589,chr4:103997969,True,True,False,False,1
cg10479325,chr4:128886426,True,True,False,False,1
cg11356705,chr4:77069568,True,True,False,False,3
cg12452946,chr4:128886867,True,True,False,False,3
cg12939527,chr4:2757706,True,True,False,False,3
cg13246654,chr4:114682613,True,True,False,False,1
cg13359415,chr4:25032564,False,False,True,False,22
cg13564595,chr4:7069733,True,True,False,False,3
cg13704403,chr4:967460,True,True,False,True,22
cg13842258,chr4:41216271,True,True,False,True,1
cg16438432,chr4:83294858,True,True,False,False,3
cg16538604,chr4:2010703,True,True,False,False,3
cg16802152,chr4:184365888,True,True,False,False,3
cg17259741,chr4:4291994,True,True,False,False,3
cg17269277,chr4:1796142,True,True,False,False,2
cg17849194,chr4:71553882,False,True,False,False,1
cg18342279,chr4:48492344,True,True,False,False,23
cg18424538,chr4:6717981,True,True,False,False,3
cg18719814,chr4:47916640,True,True,False,False,1
cg19278809,chr4:6785080,True,True,False,False,3
cg19445598,chr4:68566438,True,False,True,False,3
cg19616230,chr4:25657429,True,True,False,False,24
cg19905754,chr4:186317888,True,True,False,False,2
cg20088535,chr4:128802013,False,True,False,False,3
cg20166783,chr4:39367943,True,True,False,False,3
cg20303303,chr4:10118265,True,True,False,False,1
cg20326867,chr4:26862483,True,True,False,True,1
cg21721155,chr4:108910787,False,True,False,False,3
cg22127491,chr4:140217063,True,True,False,False,2
cg22333016,chr4:54244258,True,True,False,False,3
cg22385477,chr4:186392754,True,True,False,False,1
cg22461615,chr4:83821917,True,True,False,False,1
cg22734085,chr4:184020261,False,True,False,False,1
cg22831514,chr4:88312706,False,False,False,False,1
cg23653712,chr4:52904379,True,False,True,False,1
cg23657252,chr4:79697583,True,True,False,False,1
cg23916751,chr4:88929263,True,True,False,False,3
cg24199834,chr4:147560126,True,True,True,False,24
cg24693053,chr4:682834,True,True,True,False,22
cg25088874,chr4:95678817,False,True,False,False,23
cg25117976,chr4:39529365,True,True,False,False,1
cg26812418,chr4:166299976,True,True,False,False,23
cg27038439,chr4:4864320,True,False,True,False,24
cg27507704,chr4:159593171,True,True,False,False,1
cg00386408,chr5:135364970,True,True,False,False,3
cg01500421,chr5:140070872,True,True,False,False,3
cg01737507,chr5:122372093,True,True,False,False,2
cg01805784,chr5:176873808,True,True,False,False,2
cg01936124,chr5:137878512,True,True,False,False,3
cg01982455,chr5:149829250,True,True,False,False,3
cg02675896,chr5:102594347,False,False,True,False,1
cg03136712,chr5:140053068,True,True,False,False,7
cg03522216,chr5:32174578,False,True,False,False,3
cg04020816,chr5:109025456,True,True,False,False,1
cg04232649,chr5:162864489,False,True,False,False,1
cg04330449,chr5:134871166,True,True,False,False,24
cg04590931,chr5:133861743,True,True,False,False,3
cg04684516,chr5:121647858,True,True,True,False,22
cg04686412,chr5:139175658,True,True,False,False,24
cg04735745,chr5:76382885,True,True,False,False,1
cg04960652,chr5:172571539,True,False,False,False,1
cg05189291,chr5:157158457,True,True,False,False,1
cg05843340,chr5:68628618,True,True,False,False,2
cg06508445,chr5:121414088,False,False,True,False,2
cg07442479,chr5:37839769,True,True,False,False,23
cg07540118,chr5:157002713,True,True,True,False,1
cg07880061,chr5:176730198,True,True,False,False,3
cg08164315,chr5:40679182,True,False,True,False,2
cg08424427,chr5:180670815,True,True,False,True,3
cg08490173,chr5:114880508,True,True,False,False,1
cg08513100,chr5:133706722,True,False,True,False,1
cg08725962,chr5:175792493,True,True,False,True,23
cg09801842,chr5:174905852,True,True,False,False,3
cg10214058,chr5:154238169,True,True,False,False,1
cg10356060,chr5:138775106,True,False,False,False,1
cg10737521,chr5:179335243,False,False,True,False,2
cg10948883,chr5:176944132,True,True,False,False,1
cg10978355,chr5:80529340,True,False,False,False,1
cg11017269,chr5:95067136,True,True,False,False,3
cg11057497,chr5:43313384,True,True,False,False,3
cg11100802,chr5:180688063,True,True,False,False,3
cg11141561,chr5:134074404,True,True,False,False,3
cg11154798,chr5:34656563,True,True,False,False,1
cg11591325,chr5:76012591,True,False,True,False,3
cg11732619,chr5:168728076,True,True,False,False,22
cg11946503,chr5:134870514,True,False,True,False,24
cg12080675,chr5:179335223,False,False,True,False,2
cg12126786,chr5:77656518,True,True,False,False,3
cg12168164,chr5:33441063,True,True,False,False,3
cg12430845,chr5:36876537,False,True,False,False,3
cg12598575,chr5:173043653,True,True,False,False,22
cg12766348,chr5:178054039,True,True,False,False,1
cg12871124,chr5:110848106,True,True,False,False,3
cg14161426,chr5:96143592,True,True,False,False,1
cg14409941,chr5:178771781,True,True,False,False,23
cg15219393,chr5:149109878,True,True,False,False,1
cg16257040,chr5:177557700,False,True,False,False,2
cg16509658,chr5:160975347,True,True,False,False,23
cg16821394,chr5:141488611,True,True,False,False,3
cg17178888,chr5:159739851,True,True,False,False,23
cg17811228,chr5:139175116,False,True,False,False,23
cg17946497,chr5:172198141,True,True,False,False,3
cg19238398,chr5:138775248,True,False,False,False,2
cg19704039,chr5:141392512,True,True,False,False,1
cg19885761,chr5:175223646,True,True,False,False,24
cg20044189,chr5:141704548,True,True,True,False,3
cg20060451,chr5:179159945,True,True,False,False,3
cg20986134,chr5:126112439,True,True,False,False,1
cg21101222,chr5:151138161,True,True,False,False,3
cg21703138,chr5:133561950,False,True,False,False,1
cg22229034,chr5:172198031,True,True,False,False,3
cg22913584,chr5:81046758,True,True,False,False,3
cg23091824,chr5:1112355,False,True,False,True,2
cg23953133,chr5:126112875,True,True,False,False,3
cg23983884,chr5:176900806,True,False,False,False,22
cg24003306,chr5:1799717,True,True,False,False,3
cg24371225,chr5:43192392,True,True,False,False,23
cg24886748,chr5:1111731,True,True,False,True,2
cg25084220,chr5:126366197,True,True,False,False,3
cg25159610,chr5:57756802,False,True,False,False,16
cg25177452,chr5:72416677,True,True,False,False,23
cg25707005,chr5:138775200,True,False,False,False,1
cg25720804,chr5:170736389,True,True,False,False,23
cg26054540,chr5:1009204,True,True,False,True,22
cg26361928,chr5:151151522,True,True,False,False,3
cg26399201,chr5:132149404,True,True,False,False,23
cg26747293,chr5:38258670,True,True,False,False,23
cg26796283,chr5:174151334,False,False,True,False,23
cg26929490,chr5:36877626,True,True,False,False,3
cg27116713,chr5:176853836,True,True,False,False,3
cg00347904,chr6:35182508,True,True,False,False,23
cg00502442,chr6:157801893,False,True,False,False,1
cg00620629,chr6:116989951,True,False,False,False,3
cg00702231,chr6:144329473,True,True,False,False,1
cg00839802,chr6:119671238,False,True,False,False,1
cg00984602,chr6:43139692,True,True,False,True,3
cg01505176,chr6:31763310,True,True,False,False,3
cg01594214,chr6:123110554,True,True,False,False,2
cg01818492,chr6:132129363,True,True,False,False,1
cg01932459,chr6:109703513,True,True,False,False,3
cg01998682,chr6:151712546,True,True,False,False,3
cg02128567,chr6:39196998,True,True,False,False,3
cg02257681,chr6:31698002,True,True,False,False,9
cg02322621,chr6:33422403,True,True,False,False,3
cg03298413,chr6:32095941,True,False,True,False,3
cg03447931,chr6:7726645,False,True,False,True,23
cg03969906,chr6:26021768,False,False,True,False,1
cg04006554,chr6:46138530,True,False,False,False,23
cg04329454,chr6:33561099,False,True,False,False,16
cg04600618,chr6:43612980,True,True,False,False,22
cg04623837,chr6:29943414,False,False,True,False,23
